Clave_mun,longitud,latitud,altitud,totreg,ingtoper,Censo_y_edu,Censo_y_salud,Censo_y_ss,Censo_y_cv,Censo_y_sbv,Censo_y_ali,Censo_y_ing,Censo_y_esco,Enigh_y_edu,Enigh_y_salud,Enigh_y_ss,Enigh_y_cv,Enigh_y_sbv,Enigh_y_ali2,Enigh_y_ing,Nb_mun,Population,Gini_coef
1,970033,193513,2020,7503,2550526,0.3675,0.923,0.9152,0.604,0.752,0.1801,0.3399,3.39,0.3421907,0.5508161,0.9054937,0.2883903,0.1894695,0.2203186,1.11925,Acajete,7117,0.4387074
2,965031,194150,1740,2558,1532146,0.3753,0.9629,0.9582,0.1443,0.0696,0.0797,0.599,3.5813,0.3067136,0.4801693,0.9593257,0.0894499,0.1261468,0.3057561,1.50103,Acatlán,2983,0.3705769
3,945448,175654,100,77737,55300000,0.2782,0.7804,0.7487,0.4183,0.5256,0.2064,0.7114,4.7598,0.2748455,0.2611252,0.7444059,0.2923889,0.5611167,0.2293832,1.62541,Acayucan,91089,0.4306017
4,963709,193013,260,39308,26100000,0.4237,0.6479,0.6382,0.3576,0.3437,0.0509,0.664,3.9212,0.3270912,0.489681,0.7252651,0.0878105,0.1172,0.2179129,1.6723,Actopan,44150,0.394426
5,954624,183022,10,5017,5645295,0.3889,0.6303,0.6418,0.3117,0.8597,0.1023,1.1252,3.8657,0.314982,0.0743352,0.7698665,0.1422585,0.5426088,0.2970722,1.57418,Acula,4630,0.3964067
6,971748,184311,1640,17755,5798305,0.3592,0.8514,0.8679,0.7602,0.8874,0.4044,0.3266,3.1916,0.3019811,0.4679329,0.8555048,0.3200174,0.507121,0.3345201,1.42033,Acultzingo,20302,0.4229303
7,963652,190123,320,5597,2189518,0.415,0.6087,0.6375,0.4292,0.8001,0.1085,0.3912,3.9862,0.4131647,0.2814071,0.8082563,0.2010491,0.7689949,0.2553826,1.07407,Camarón de Tejeda,6595,0.3945834
8,970530,190708,1860,8567,1151659,0.3985,0.9288,0.9291,0.7752,0.8178,0.2717,0.1344,2.534,0.3913088,0.8722199,0.9386982,0.2368052,0.7143017,0.3014197,0.81219,Alpatláhuac,8807,0.4009322
9,964354,193722,1100,27110,18800000,0.4007,0.8585,0.8499,0.1433,0.1859,0.036,0.6935,4.1577,0.3683047,0.7181159,0.8665025,0.1132037,0.2817956,0.292278,1.48042,Alto Lucero de Gutiérrez Barrios,27002,0.395977
10,971438,194547,1890,53187,22700000,0.3692,0.9042,0.8972,0.6519,0.6883,0.309,0.4268,3.1143,0.3974768,0.5593713,0.902899,0.3576401,0.5305193,0.2371689,1.06804,Altotonga,55623,0.4733955
11,954538,184613,10,47702,34000000,0.3208,0.6602,0.6493,0.2185,0.5854,0.0514,0.7128,4.4825,0.2911588,0.3405149,0.6866652,0.1483711,0.4560636,0.2411292,2.12447,Alvarado,52405,0.446534
12,954409,182604,5,7222,5838199,0.3811,0.424,0.418,0.1601,0.7851,0.0339,0.8084,4.2593,0.359808,0.2217092,0.6385392,0.0857017,0.7430099,0.2474,1.75322,Amatitlán,9568,0.400984
13,974112,212059,60,26339,23700000,0.2092,0.6748,0.6566,0.4168,0.3638,0.1299,0.8998,5.4581,0.1440101,0.2742504,0.6184202,0.13834,0.2509473,0.1301512,3.35674,Naranjos Amatlán,23845,0.5167492
14,965452,185039,740,36730,22100000,0.3033,0.5984,0.5818,0.4958,0.7139,0.1614,0.6017,4.2338,0.2567716,0.2236239,0.6608073,0.2511239,0.4956304,0.2099185,1.81301,Amatlán de los Reyes,43538,0.3907816
15,952645,183540,10,32084,16800000,0.3744,0.5746,0.5628,0.2584,0.4097,0.1065,0.5236,3.8443,0.3741914,0.2580233,0.7367352,0.1606405,0.2854159,0.268186,1.56866,Angel R. Cabada,36380,0.40589
16,962235,192210,20,23358,21700000,0.208,0.3833,0.4539,0.2489,0.1384,0.053,0.929,5.871,0.2438527,0.3986366,0.5722046,0.0640844,0.2024887,0.1569908,2.43255,La Antigua,19144,0.408281
17,964305,191914,300,3551,910132,0.3382,0.8724,0.8603,0.4903,0.4889,0.1329,0.2563,4.2309,0.2962207,0.4954896,0.753679,0.1190735,0.3090201,0.1782564,1.50672,Apazapan,5008,0.3586239
18,971826,184741,1840,1772,230429,0.4204,0.8375,0.8386,0.7968,0.9701,0.3448,0.13,2.2923,0.4856454,0.8198431,0.9798545,0.3250282,0.7003903,0.4695764,0.63831,Aquila,1537,0.3853658
19,970607,183356,2300,5366,1686649,0.3108,0.9102,0.8921,0.8254,0.9346,0.5253,0.3143,1.9115,0.4769786,0.0746218,0.9691292,0.4412029,0.9638646,0.3108472,0.61018,Astacinga,4946,0.4015347
